Designator,Mid X,Mid Y,Layer,Rotation
U1,148.8,-138.289,bottom,90
U3,136.27,-115.434,bottom,-90
C5,158.54,-90.184,top,-90
C6,160.54,-76.184,top,0
C7,165.04,-93.184,top,0
C8,165.04,-87.184,top,0
C9,172.9632,-83.82,top,180
C10,155.54,-90.184,top,-90
C11,143.0775,-108.684,top,-90
C12,167.2736,-106.578,top,90
C13,156.885,-65.5425,top,-90
C14,135.93,-65.0455,top,-90
C15,157.1136,-44.1515,top,-90
C16,135.93,-44.1515,top,-90
D1,161.544,-117.348,top,90
D2,136.64,-129.184,top,180
D3,143.7024,-78.1304,top,0
D4,143.7024,-80.2674,top,0
D5,143.7024,-82.6304,top,0
Q1,156.692,-117.348,top,90
Q2,141.6025,-128.184,top,0
Q3,173.04,-92.184,top,0
R1,133.04,-127.184,top,0
R6,177.54,-75.184,top,180
R7,139.5134,-78.1304,top,180
R8,140.54,-86.184,top,90
R9,139.5134,-80.2674,top,180
R10,139.5134,-82.6304,top,180
R11,157.04,-94.184,top,90
R12,143.04,-100.684,top,-90
R13,170.5248,-109.495,top,180
R14,143.0775,-104.684,top,-90
R15,167.2736,-110.664,top,90
R16,169.5088,-95.6056,top,180
R17,172.04,-88.184,top,-90
R18,156.885,-61.484,top,90
R19,135.93,-60.987,top,90
R20,157.1136,-40.1035,top,90
R21,135.93,-40.1035,top,90
SW2,178.813,-89.857,top,180
U5,157.54,-82.6952,top,90
U7,167.127,-63.119,top,180
U8,146.873,-63.119,top,180
U9,167.127,-42.865,top,180
U10,146.873,-42.865,top,180